company_name,domain,offer_id,contact_name,contact_title,contact_email,email_verified
LangChain,langchain.com,ai-security,,,,
CrewAI,crewai.com,ai-security,,,,
LlamaIndex,llamaindex.ai,ai-security,,,,
Mastra,mastra.ai,ai-security,,,,
Zapier,zapier.com,ai-security,,,,
Replit,replit.com,ai-security,,,,
Perplexity,perplexity.ai,ai-security,,,,
Harvey,harvey.ai,ai-security,,,,
Sierra,sierra.ai,ai-security,,,,
Glean,glean.com,ai-security,,,,
